Holiday,Date,Day of Week
New Year's Day,2010-01-01,Friday
Martin Luther King Jr. Day,2010-01-18,Monday
Presidents' Day,2010-02-15,Monday
Memorial Day,2010-05-31,Monday
Independence Day,2010-07-04,Sunday
Labor Day,2010-09-06,Monday
Columbus Day,2010-10-11,Monday
Veterans Day,2010-11-11,Thursday
Thanksgiving Day,2010-11-25,Thursday
Christmas Day,2010-12-25,Saturday
New Year's Day,2011-01-01,Saturday
Martin Luther King Jr. Day,2011-01-17,Monday
Presidents' Day,2011-02-21,Monday
Memorial Day,2011-05-30,Monday
Independence Day,2011-07-04,Monday
Labor Day,2011-09-05,Monday
Columbus Day,2011-10-10,Monday
Veterans Day,2011-11-11,Friday
Thanksgiving Day,2011-11-24,Thursday
Christmas Day,2011-12-25,Sunday
New Year's Day,2012-01-01,Sunday
Martin Luther King Jr. Day,2012-01-16,Monday
Presidents' Day,2012-02-20,Monday
Memorial Day,2012-05-28,Monday
Independence Day,2012-07-04,Wednesday
Labor Day,2012-09-03,Monday
Columbus Day,2012-10-08,Monday
Veterans Day,2012-11-11,Sunday
Thanksgiving Day,2012-11-22,Thursday
Christmas Day,2012-12-25,Tuesday
New Year's Day,2013-01-01,Tuesday
Martin Luther King Jr. Day,2013-01-21,Monday
Presidents' Day,2013-02-18,Monday
Memorial Day,2013-05-27,Monday
Independence Day,2013-07-04,Thursday
Labor Day,2013-09-02,Monday
Columbus Day,2013-10-14,Monday
Veterans Day,2013-11-11,Monday
Thanksgiving Day,2013-11-28,Thursday
Christmas Day,2013-12-25,Wednesday
New Year's Day,2014-01-01,Wednesday
Martin Luther King Jr. Day,2014-01-20,Monday
Presidents' Day,2014-02-17,Monday
Memorial Day,2014-05-26,Monday
Independence Day,2014-07-04,Friday
Labor Day,2014-09-01,Monday
Columbus Day,2014-10-13,Monday
Veterans Day,2014-11-11,Tuesday
Thanksgiving Day,2014-11-27,Thursday
Christmas Day,2014-12-25,Thursday
New Year's Day,2015-01-01,Thursday
Martin Luther King Jr. Day,2015-01-19,Monday
Presidents' Day,2015-02-16,Monday
Memorial Day,2015-05-25,Monday
Independence Day,2015-07-04,Saturday
Labor Day,2015-09-07,Monday
Columbus Day,2015-10-12,Monday
Veterans Day,2015-11-11,Wednesday
Thanksgiving Day,2015-11-26,Thursday
Christmas Day,2015-12-25,Friday
New Year's Day,2016-01-01,Friday
Martin Luther King Jr. Day,2016-01-18,Monday
Presidents' Day,2016-02-15,Monday
Memorial Day,2016-05-30,Monday
Independence Day,2016-07-04,Monday
Labor Day,2016-09-05,Monday
Columbus Day,2016-10-10,Monday
Veterans Day,2016-11-11,Friday
Thanksgiving Day,2016-11-24,Thursday
Christmas Day,2016-12-25,Sunday
New Year's Day,2017-01-01,Sunday
Martin Luther King Jr. Day,2017-01-16,Monday
Presidents' Day,2017-02-20,Monday
Memorial Day,2017-05-29,Monday
Independence Day,2017-07-04,Tuesday
Labor Day,2017-09-04,Monday
Columbus Day,2017-10-09,Monday
Veterans Day,2017-11-11,Saturday
Thanksgiving Day,2017-11-23,Thursday
Christmas Day,2017-12-25,Monday
New Year's Day,2018-01-01,Monday
Martin Luther King Jr. Day,2018-01-15,Monday
Presidents' Day,2018-02-19,Monday
Memorial Day,2018-05-28,Monday
Independence Day,2018-07-04,Wednesday
Labor Day,2018-09-03,Monday
Columbus Day,2018-10-08,Monday
Veterans Day,2018-11-11,Sunday
Thanksgiving Day,2018-11-22,Thursday
Christmas Day,2018-12-25,Tuesday
New Year's Day,2019-01-01,Tuesday
Martin Luther King Jr. Day,2019-01-21,Monday
Presidents' Day,2019-02-18,Monday
Memorial Day,2019-05-27,Monday
Independence Day,2019-07-04,Thursday
Labor Day,2019-09-02,Monday
Columbus Day,2019-10-14,Monday
Veterans Day,2019-11-11,Monday
Thanksgiving Day,2019-11-28,Thursday
Christmas Day,2019-12-25,Wednesday
New Year's Day,2020-01-01,Wednesday
Martin Luther King Jr. Day,2020-01-20,Monday
Presidents' Day,2020-02-17,Monday
Memorial Day,2020-05-25,Monday
Independence Day,2020-07-04,Saturday
Labor Day,2020-09-07,Monday
Columbus Day,2020-10-12,Monday
Veterans Day,2020-11-11,Wednesday
Thanksgiving Day,2020-11-26,Thursday
Christmas Day,2020-12-25,Friday
New Year's Day,2021-01-01,Friday
Martin Luther King Jr. Day,2021-01-18,Monday
Presidents' Day,2021-02-15,Monday
Memorial Day,2021-05-31,Monday
Independence Day,2021-07-04,Sunday
Labor Day,2021-09-06,Monday
Columbus Day,2021-10-11,Monday
Veterans Day,2021-11-11,Thursday
Thanksgiving Day,2021-11-25,Thursday
Christmas Day,2021-12-25,Saturday
New Year's Day,2022-01-01,Saturday
Martin Luther King Jr. Day,2022-01-17,Monday
Presidents' Day,2022-02-21,Monday
Memorial Day,2022-05-30,Monday
Independence Day,2022-07-04,Monday
Labor Day,2022-09-05,Monday
Columbus Day,2022-10-10,Monday
Veterans Day,2022-11-11,Friday
Thanksgiving Day,2022-11-24,Thursday
Christmas Day,2022-12-25,Sunday
New Year's Day,2023-01-01,Sunday
Martin Luther King Jr. Day,2023-01-16,Monday
Presidents' Day,2023-02-20,Monday
Memorial Day,2023-05-29,Monday
Independence Day,2023-07-04,Tuesday
Labor Day,2023-09-04,Monday
Columbus Day,2023-10-09,Monday
Veterans Day,2023-11-11,Saturday
Thanksgiving Day,2023-11-23,Thursday
Christmas Day,2023-12-25,Monday
Valentine's Day,2010-02-14,Sunday
New Year's Eve,2010-12-31,Friday
Christmas Eve,2010-12-24,Friday
St. Patrick's Day,2010-03-17,Wednesday
Halloween,2010-10-31,Sunday
Valentine's Day,2011-02-14,Monday
New Year's Eve,2011-12-31,Saturday
Christmas Eve,2011-12-24,Saturday
St. Patrick's Day,2011-03-17,Thursday
Halloween,2011-10-31,Monday
Valentine's Day,2012-02-14,Tuesday
New Year's Eve,2012-12-31,Monday
Christmas Eve,2012-12-24,Monday
St. Patrick's Day,2012-03-17,Saturday
Halloween,2012-10-31,Wednesday
Valentine's Day,2013-02-14,Thursday
New Year's Eve,2013-12-31,Tuesday
Christmas Eve,2013-12-24,Tuesday
St. Patrick's Day,2013-03-17,Sunday
Halloween,2013-10-31,Thursday
Valentine's Day,2014-02-14,Friday
New Year's Eve,2014-12-31,Wednesday
Christmas Eve,2014-12-24,Wednesday
St. Patrick's Day,2014-03-17,Monday
Halloween,2014-10-31,Friday
Valentine's Day,2015-02-14,Saturday
New Year's Eve,2015-12-31,Thursday
Christmas Eve,2015-12-24,Thursday
St. Patrick's Day,2015-03-17,Tuesday
Halloween,2015-10-31,Saturday
Valentine's Day,2016-02-14,Sunday
New Year's Eve,2016-12-31,Saturday
Christmas Eve,2016-12-24,Saturday
St. Patrick's Day,2016-03-17,Thursday
Halloween,2016-10-31,Monday
Valentine's Day,2017-02-14,Tuesday
New Year's Eve,2017-12-31,Sunday
Christmas Eve,2017-12-24,Sunday
St. Patrick's Day,2017-03-17,Friday
Halloween,2017-10-31,Tuesday
Valentine's Day,2018-02-14,Wednesday
New Year's Eve,2018-12-31,Monday
Christmas Eve,2018-12-24,Monday
St. Patrick's Day,2018-03-17,Saturday
Halloween,2018-10-31,Wednesday
Valentine's Day,2019-02-14,Thursday
New Year's Eve,2019-12-31,Tuesday
Christmas Eve,2019-12-24,Tuesday
St. Patrick's Day,2019-03-17,Sunday
Halloween,2019-10-31,Thursday
Valentine's Day,2020-02-14,Friday
New Year's Eve,2020-12-31,Thursday
Christmas Eve,2020-12-24,Thursday
St. Patrick's Day,2020-03-17,Tuesday
Halloween,2020-10-31,Saturday
Valentine's Day,2021-02-14,Sunday
New Year's Eve,2021-12-31,Friday
Christmas Eve,2021-12-24,Friday
St. Patrick's Day,2021-03-17,Wednesday
Halloween,2021-10-31,Sunday
Valentine's Day,2022-02-14,Monday
New Year's Eve,2022-12-31,Saturday
Christmas Eve,2022-12-24,Saturday
St. Patrick's Day,2022-03-17,Thursday
Halloween,2022-10-31,Monday
Valentine's Day,2023-02-14,Tuesday
New Year's Eve,2023-12-31,Sunday
Christmas Eve,2023-12-24,Sunday
St. Patrick's Day,2023-03-17,Friday
Halloween,2023-10-31,Tuesday
